_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Pos Difference
21,Fayette,18041,139,601.6799999999999499777914024889469146728515625,3,0.1048999999999999932498440102790482342243194580078125,2,2.5,Orange (2 and 2.5),0.1524500000000000021760371282653068192303180694580078125,-4.75499999999999989341858963598497211933135986328125
22,Floyd,18043,378,481.394000000000005456968210637569427490234375,3,0.09324000000000000343280959214098402298986911773681640625,1,2,Orange (2 and 2.5),0.092249999999999998667732370449812151491641998291015625,0.0990000000000000046629367034256574697792530059814453125
23,Fountain,18045,137,838.125999999999976353137753903865814208984375,3,0.1311199999999999865618605099371052347123622894287109375,2,2.5,Orange (2 and 2.5),0.1354499999999999870770039933631778694689273834228515625,-0.43299999999999994049204588009160943329334259033203125
24,Franklin,18047,85,373.4950000000000045474735088646411895751953125,3,0.1782999999999999862776434156330651603639125823974609375,3,3,Red (3),0.0914399999999999935074157519920845516026020050048828125,8.68599999999999994315658113919198513031005859375
25,Fulton,18049,162,811.0539999999999736246536485850811004638671875,3,0.071830000000000004956035581926698796451091766357421875,1,2,Orange (2 and 2.5),0.041439999999999997670752094336421578191220760345458984375,3.039000000000000145661260830820538103580474853515625
26,Gibson,18051,266,790.27899999999999636202119290828704833984375,3,0.13104999999999999982236431605997495353221893310546875,2,2.5,Orange (2 and 2.5),0.07155999999999999861000077316930401138961315155029296875,5.9489999999999998436805981327779591083526611328125
27,Grant,18053,357,542.808999999999969077180139720439910888671875,3,0.11855000000000000259792187762286630459129810333251953125,2,2.5,Orange (2 and 2.5),0.12299000000000000210054196259079617448151111602783203125,-0.44400000000000006128431095930864103138446807861328125
28,Greene,18055,121,379.0489999999999781721271574497222900390625,3,0.08459999999999999464872502130674547515809535980224609375,1,2,Orange (2 and 2.5),0.10770000000000000406341627012807293795049190521240234375,-2.310000000000000053290705182007513940334320068359375
29,Hamilton,18057,1813,536.37300000000004729372449219226837158203125,3,0.11902000000000000079491968563161208294332027435302734375,2,2.5,Orange (2 and 2.5),0.08853999999999999370725589642461272887885570526123046875,3.0480000000000000426325641456060111522674560546875
30,Hancock,18059,387,495.08800000000002228262019343674182891845703125,3,0.09872999999999999831690189466826268471777439117431640625,1,2,Orange (2 and 2.5),0.08780000000000000304201108747292892076075077056884765625,1.0940000000000000834887714518117718398571014404296875
31,Harrison,18061,183,451.68500000000000227373675443232059478759765625,3,0.06965000000000000357491813929300406016409397125244140625,1,2,Orange (2 and 2.5),0.06932000000000000661248833466743235476315021514892578125,0.0340000000000000024424906541753443889319896697998046875
32,Hendricks,18063,721,423.34300000000001773514668457210063934326171875,3,0.11755000000000000170974345792274107225239276885986328125,2,2.5,Orange (2 and 2.5),0.07695000000000000450750547997813555411994457244873046875,4.05900000000000016342482922482304275035858154296875
33,Henry,18065,277,577.4199999999999590727384202182292938232421875,3,0.085980000000000000870414851306122727692127227783203125,1,2,Orange (2 and 2.5),0.100129999999999996784794120685546658933162689208984375,-1.41500000000000003552713678800500929355621337890625
34,Howard,18067,352,426.43900000000002137312549166381359100341796875,3,0.079380000000000006110667527536861598491668701171875,1,2,Orange (2 and 2.5),0.07184000000000000107913677993565215729176998138427734375,0.75500000000000000444089209850062616169452667236328125
35,Huntington,18069,242,662.6509999999999536157702095806598663330078125,3,0.10355999999999999927613458794439793564379215240478515625,2,2.5,Orange (2 and 2.5),0.07151000000000000411670697531008045189082622528076171875,3.2050000000000000710542735760100185871124267578125
36,Jackson,18071,252,569.7359999999999899955582804977893829345703125,3,0.131039999999999989821475310236564837396144866943359375,2,2.5,Orange (2 and 2.5),0.08822000000000000674571509762245113961398601531982421875,4.282000000000000028421709430404007434844970703125
37,Jasper,18073,168,500.56599999999997407940099947154521942138671875,3,0.139330000000000009396927680427324958145618438720703125,2,2.5,Orange (2 and 2.5),0.118669999999999997708499677173676900565624237060546875,2.066000000000000280664380625239573419094085693359375
38,Jay,18075,177,866.1190000000000281943357549607753753662109375,3,0.142649999999999999023003738329862244427204132080078125,2,2.5,Orange (2 and 2.5),0.09521000000000000296207502969991764985024929046630859375,4.74400000000000066080474425689317286014556884765625
39,Jefferson,18077,222,687.13599999999996725819073617458343505859375,3,0.10795000000000000428546087505310424603521823883056640625,2,2.5,Orange (2 and 2.5),0.055570000000000001338928967697938787750899791717529296875,5.23800000000000043343106881366111338138580322265625
40,Jennings,18079,132,475.9329999999999927240423858165740966796875,3,0.0700800000000000034017233474514796398580074310302734375,1,2,Orange (2 and 2.5),0.1024899999999999977706721665526856668293476104736328125,-3.241000000000000103028696685214526951313018798828125
41,Johnson,18081,907,573.4450000000000500222085975110530853271484375,3,0.1211399999999999976818543245826731435954570770263671875,2,2.5,Orange (2 and 2.5),0.09757000000000000394795307556705665774643421173095703125,2.356000000000000316191517413244582712650299072265625
42,Knox,18083,271,740.558999999999969077180139720439910888671875,3,0.09500999999999999723332422263410990126430988311767578125,1,2,Orange (2 and 2.5),0.0919200000000000017053025658242404460906982421875,0.308999999999999996891375531049561686813831329345703125
43,Kosciusko,18085,695,874.6979999999999790816218592226505279541015625,3,0.1351900000000000046096459982436499558389186859130859375,2,2.5,Orange (2 and 2.5),0.1316100000000000047606363295926712453365325927734375,0.35799999999999998490096686509787105023860931396484375
44,La Porte,18091,652,593.3310000000000172803993336856365203857421875,3,0.12253999999999999614974655059995711781084537506103515625,2,2.5,Orange (2 and 2.5),0.10652999999999999969357844520345679484307765960693359375,1.600000000000000088817841970012523233890533447265625
45,Lagrange,18087,184,464.48200000000002773958840407431125640869140625,3,0.299680000000000001936228954946273006498813629150390625,3,3,Red (3),0.2031300000000000050004445029117050580680370330810546875,9.6549999999999993605115378159098327159881591796875
46,Lake,18089,3742,770.7630000000000336513039655983448028564453125,3,0.1580999999999999905408998301936662755906581878662109375,3,3,Red (3),0.136280000000000012239098623467725701630115509033203125,2.18100000000000004973799150320701301097869873046875
47,Lawrence,18093,226,498.12700000000000954969436861574649810791015625,3,0.1371699999999999863842248259970801882445812225341796875,2,2.5,Orange (2 and 2.5),0.123109999999999997211119762141606770455837249755859375,1.4059999999999999165112285481882281601428985595703125
48,Madison,18095,634,489.31499999999999772626324556767940521240234375,3,0.1185900000000000009681144774731365032494068145751953125,2,2.5,Orange (2 and 2.5),0.08531999999999999306776743424052256159484386444091796875,3.3269999999999999573674358543939888477325439453125
49,Marion,18097,5246,543.863000000000056388671509921550750732421875,3,0.126890000000000002788880237858393229544162750244140625,2,2.5,Orange (2 and 2.5),0.0930499999999999938271599830841296352446079254150390625,3.3840000000000003410605131648480892181396484375
50,Marshall,18099,477,1031.173000000000001818989403545856475830078125,3,0.08491999999999999548805362792336381971836090087890625,1,2,Orange (2 and 2.5),0.0525899999999999978594900085226981900632381439208984375,3.23299999999999965183405947755090892314910888671875
51,Martin,18101,41,399.80500000000000682121026329696178436279296875,3,0.11834000000000000074606987254810519516468048095703125,2,2.5,Orange (2 and 2.5),0.097129999999999994120258861585170961916446685791015625,2.120999999999999996447286321199499070644378662109375
