_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score Two Meas.,County Score Color,Previous Positivity,Difference in Positivity
42,Knox,18083,50,136.6344209000000091691617853939533233642578125,2,0.06105744400000000238204478364423266611993312835693359375,1,1.5,Yellow (1 and 1.5),0.07789395600000000030593838573622633703052997589111328125,-1.6836512000000001254562675967463292181491851806640625
43,Kosciusko,18085,52,65.4450261799999992717857821844518184661865234375,1,0.025783807999999998339379914114033454097807407379150390625,0,0.5,Blue (0 and 0.5),0.113421979000000006099213578636408783495426177978515625,-8.763817100000000692716639605350792407989501953125
44,Lagrange,18087,3,7.5730802239999999159181243157945573329925537109375,0,0.03937469999999999858975030520014115609228610992431640625,0,0,Blue (0 and 0.5),0.06815127299999999832547104006152949295938014984130859375,-2.87765730000000008459437594865448772907257080078125
45,Lake,18089,370,76.2111915100000061329410527832806110382080078125,1,0.047225385000000001667341820166257093660533428192138671875,0,0.5,Blue (0 and 0.5),0.06014666300000000298542346399699454195797443389892578125,-1.2921278000000000485414375361870042979717254638671875
46,La Porte,18091,52,47.32090855999999945424860925413668155670166015625,1,0.04266436299999999681720197486356482841074466705322265625,0,0.5,Blue (0 and 0.5),0.0309117580000000009843308390600213897414505481719970703125,1.175260499999999819209506313200108706951141357421875
47,Lawrence,18093,13,28.653295130000000057179931900463998317718505859375,1,0.038354509000000001905927859979783534072339534759521484375,0,0.5,Blue (0 and 0.5),0.023942257000000001510020553041613311506807804107666015625,1.4412252000000000951018819250748492777347564697265625
48,Madison,18095,91,70.232848910000001296793925575911998748779296875,1,0.04532150699999999698963648597782594151794910430908203125,0,0.5,Blue (0 and 0.5),0.07453890100000000462632243625193950720131397247314453125,-2.92173950000000015592149793519638478755950927734375
49,Marion,18097,958,99.317631890000001249063643626868724822998046875,1,0.04708273899999999845267240061730262823402881622314453125,0,0.5,Blue (0 and 0.5),0.052527176000000001809819849540872382931411266326904296875,-0.5444438000000000332789795720600523054599761962890625
50,Marshall,18099,25,54.0447057800000010274743544869124889373779296875,1,0.0191303809999999983870733188950907788239419460296630859375,0,0.5,Blue (0 and 0.5),0.023387338000000000570732794358264072798192501068115234375,-0.425695699999999954687979197842651046812534332275390625
51,Martin,18101,20,195.026816200000013168391888029873371124267578125,2,0.0197240389999999987669099255072069354355335235595703125,0,1,Yellow (1 and 1.5),0.09328895099999999496187541581093682907521724700927734375,-7.35649129999999917828290563193149864673614501953125
52,Miami,18103,8,22.525059129999998930315996403805911540985107421875,1,0.0252139210000000002498410367479664273560047149658203125,0,0.5,Blue (0 and 0.5),0.042830226999999998493962038992322050034999847412109375,-1.76163049999999987704768500407226383686065673828125
53,Monroe,18105,386,260.05349289999998063649400137364864349365234375,3,0.057881448000000002007681132454308681190013885498046875,1,2,Orange (2 and 2.5),0.0990873979999999932033460936509072780609130859375,-4.12059510000000006613163350266404449939727783203125
54,Montgomery,18107,12,31.300537330000000935115167521871626377105712890625,1,0.0265036210000000015118981622208593762479722499847412109375,0,0.5,Blue (0 and 0.5),0.0191088370000000000448192594149077194742858409881591796875,0.73947839999999998017443658682168461382389068603515625
55,Morgan,18109,47,66.6770701800000011871816241182386875152587890625,1,0.03591719399999999950967577433402766473591327667236328125,0,0.5,Blue (0 and 0.5),0.037385011000000002712173596819411613978445529937744140625,-0.1467816999999999871828748609914327971637248992919921875
56,Newton,18111,11,78.6613272299999977121842675842344760894775390625,1,0.060944773000000000695575153031313675455749034881591796875,1,1,Yellow (1 and 1.5),0.020337302000000001545032546346192248165607452392578125,4.06074709999999949872062643407844007015228271484375
