_id,location_id,m1e_covid_cases,m1e_covid_deaths,m1e_covid_tests,county_name
10228,18157,2,0,136,Tippecanoe
10229,18157,8,0,151,Tippecanoe
10230,18157,3,0,244,Tippecanoe
10231,18157,9,0,65,Tippecanoe
10232,18157,12,0,36,Tippecanoe
10233,18157,5,0,165,Tippecanoe
10234,18157,1,0,116,Tippecanoe
10235,18157,8,0,208,Tippecanoe
10236,18157,5,0,166,Tippecanoe
10237,18157,7,1,183,Tippecanoe
10238,18157,12,0,86,Tippecanoe
10239,18157,3,0,57,Tippecanoe
10240,18157,5,0,225,Tippecanoe
10241,18157,3,0,133,Tippecanoe
10242,18157,2,0,394,Tippecanoe
10243,18157,6,0,283,Tippecanoe
10244,18157,8,0,316,Tippecanoe
10245,18157,6,0,172,Tippecanoe
10246,18157,4,0,29,Tippecanoe
10247,18157,3,0,377,Tippecanoe
10248,18157,4,1,312,Tippecanoe
10249,18157,9,1,318,Tippecanoe
10250,18157,6,0,227,Tippecanoe
10251,18157,20,0,211,Tippecanoe
10252,18157,5,0,94,Tippecanoe
10253,18157,8,1,57,Tippecanoe
10254,18157,1,0,238,Tippecanoe
10255,18157,4,0,304,Tippecanoe
10256,18157,13,0,256,Tippecanoe
10257,18157,26,0,215,Tippecanoe
10258,18157,16,0,256,Tippecanoe
10259,18157,10,0,115,Tippecanoe
10260,18157,15,0,26,Tippecanoe
10261,18157,10,0,242,Tippecanoe
10262,18157,7,0,234,Tippecanoe
10263,18157,18,0,173,Tippecanoe
10264,18157,18,0,228,Tippecanoe
10265,18157,17,0,137,Tippecanoe
10266,18157,19,0,45,Tippecanoe
10267,18157,11,1,54,Tippecanoe
10268,18157,1,0,192,Tippecanoe
10269,18157,9,0,6,Tippecanoe
10270,18157,9,0,0,Tippecanoe
10271,18159,0,0,0,Tipton
10272,18159,0,0,0,Tipton
10273,18159,0,0,0,Tipton
10274,18159,0,0,0,Tipton
10275,18159,0,0,0,Tipton
10276,18159,0,0,0,Tipton
10277,18159,0,0,0,Tipton
10278,18159,0,0,0,Tipton
10279,18159,0,0,0,Tipton
10280,18159,0,0,0,Tipton
10281,18159,0,0,0,Tipton
10282,18159,0,0,0,Tipton
10283,18159,0,0,1,Tipton
10284,18159,0,0,0,Tipton
10285,18159,0,0,0,Tipton
10286,18159,0,0,1,Tipton
10287,18159,0,0,1,Tipton
10288,18159,0,0,0,Tipton
10289,18159,0,0,4,Tipton
10290,18159,0,0,0,Tipton
10291,18159,1,0,2,Tipton
10292,18159,1,0,1,Tipton
10293,18159,0,0,1,Tipton
10294,18159,0,0,4,Tipton
10295,18159,0,0,6,Tipton
10296,18159,0,0,2,Tipton
10297,18159,0,0,6,Tipton
10298,18159,2,0,1,Tipton
10299,18159,0,0,3,Tipton
10300,18159,0,0,2,Tipton
10301,18159,1,0,5,Tipton
10302,18159,0,0,0,Tipton
10303,18159,0,0,2,Tipton
10304,18159,1,0,5,Tipton
10305,18159,0,0,7,Tipton
10306,18159,0,0,0,Tipton
10307,18159,2,0,3,Tipton
10308,18159,1,0,2,Tipton
10309,18159,0,0,1,Tipton
10310,18159,0,0,3,Tipton
10311,18159,0,0,5,Tipton
10312,18159,0,0,2,Tipton
10313,18159,1,0,1,Tipton
10314,18159,0,0,5,Tipton
10315,18159,0,1,2,Tipton
10316,18159,0,0,5,Tipton
10317,18159,0,0,1,Tipton
10318,18159,0,0,4,Tipton
10319,18159,3,0,2,Tipton
10320,18159,1,0,1,Tipton
10321,18159,0,0,5,Tipton
10322,18159,0,0,3,Tipton
10323,18159,0,0,3,Tipton
10324,18159,3,0,6,Tipton
10325,18159,0,0,5,Tipton
10326,18159,0,0,5,Tipton
10327,18159,1,0,3,Tipton
10328,18159,0,0,7,Tipton
10329,18159,0,0,4,Tipton
10330,18159,0,0,4,Tipton
10331,18159,2,0,11,Tipton
10332,18159,0,0,17,Tipton
10333,18159,0,0,5,Tipton
10334,18159,0,0,1,Tipton
10335,18159,0,0,9,Tipton
10336,18159,0,0,8,Tipton
10337,18159,0,0,15,Tipton
10338,18159,0,0,12,Tipton
10339,18159,1,0,8,Tipton
10340,18159,0,0,7,Tipton
10341,18159,0,0,2,Tipton
10342,18159,0,0,9,Tipton
10343,18159,0,0,9,Tipton
10344,18159,0,0,13,Tipton
10345,18159,0,0,13,Tipton
10346,18159,0,0,11,Tipton
10347,18159,0,0,2,Tipton
10348,18159,0,0,2,Tipton
10349,18159,0,0,22,Tipton
10350,18159,0,0,13,Tipton
10351,18159,0,0,9,Tipton
10352,18159,0,0,14,Tipton
10353,18159,1,0,11,Tipton
10354,18159,0,0,6,Tipton
10355,18159,0,0,3,Tipton
10356,18159,2,0,14,Tipton
10357,18159,0,0,20,Tipton
10358,18159,0,0,18,Tipton
10359,18159,1,0,12,Tipton
10360,18159,0,0,13,Tipton
10361,18159,0,0,4,Tipton
10362,18159,0,0,1,Tipton
10363,18159,0,0,17,Tipton
10364,18159,1,0,7,Tipton
10365,18159,0,0,6,Tipton
10366,18159,0,0,31,Tipton
10367,18159,0,0,17,Tipton
10368,18159,0,0,4,Tipton
10369,18159,0,0,2,Tipton
10370,18159,0,0,11,Tipton
10371,18159,0,0,36,Tipton
10372,18159,0,0,24,Tipton
10373,18159,1,0,24,Tipton
10374,18159,0,0,13,Tipton
10375,18159,1,0,14,Tipton
10376,18159,0,0,1,Tipton
10377,18159,0,0,28,Tipton
10378,18159,0,0,10,Tipton
10379,18159,0,0,13,Tipton
10380,18159,0,0,14,Tipton
10381,18159,0,0,21,Tipton
10382,18159,0,0,5,Tipton
10383,18159,0,0,3,Tipton
10384,18159,0,0,20,Tipton
10385,18159,0,0,11,Tipton
10386,18159,0,0,20,Tipton
10387,18159,1,0,19,Tipton
10388,18159,1,0,28,Tipton
10389,18159,0,0,7,Tipton
10390,18159,0,0,2,Tipton
10391,18159,0,0,22,Tipton
10392,18159,0,0,6,Tipton
10393,18159,0,0,13,Tipton
10394,18159,0,0,10,Tipton
10395,18159,0,0,6,Tipton
10396,18159,1,0,3,Tipton
10397,18159,0,0,2,Tipton
10398,18159,0,0,11,Tipton
10399,18159,0,0,1,Tipton
10400,18159,0,0,0,Tipton
10401,18161,0,0,0,Union
10402,18161,0,0,0,Union
10403,18161,0,0,0,Union
10404,18161,0,0,0,Union
10405,18161,0,0,0,Union
10406,18161,0,0,0,Union
10407,18161,0,0,0,Union
10408,18161,0,0,0,Union
10409,18161,0,0,0,Union
10410,18161,0,0,0,Union
10411,18161,0,0,0,Union
10412,18161,0,0,0,Union
10413,18161,0,0,0,Union
10414,18161,0,0,0,Union
10415,18161,0,0,0,Union
10416,18161,0,0,1,Union
10417,18161,0,0,0,Union
10418,18161,0,0,1,Union
10419,18161,0,0,1,Union
10420,18161,0,0,1,Union
10421,18161,0,0,3,Union
10422,18161,0,0,1,Union
10423,18161,0,0,0,Union
10424,18161,0,0,0,Union
10425,18161,0,0,2,Union
10426,18161,0,0,0,Union
10427,18161,0,0,0,Union
10428,18161,0,0,0,Union
10429,18161,0,0,1,Union
10430,18161,0,0,0,Union
10431,18161,0,0,5,Union
10432,18161,0,0,0,Union
10433,18161,0,0,1,Union
10434,18161,2,0,1,Union
10435,18161,1,0,1,Union
10436,18161,0,0,0,Union
10437,18161,0,0,1,Union
10438,18161,2,0,1,Union
10439,18161,0,0,0,Union
10440,18161,0,0,1,Union
10441,18161,0,0,1,Union
10442,18161,0,0,0,Union
10443,18161,0,0,1,Union
10444,18161,1,0,2,Union
10445,18161,0,0,0,Union
10446,18161,0,0,0,Union
10447,18161,0,0,0,Union
10448,18161,0,0,1,Union
10449,18161,0,0,1,Union
10450,18161,0,0,1,Union
10451,18161,0,0,0,Union
10452,18161,0,0,3,Union
10453,18161,0,0,0,Union
10454,18161,0,0,2,Union
10455,18161,0,0,1,Union
10456,18161,0,0,2,Union
10457,18161,0,0,0,Union
10458,18161,0,0,2,Union
10459,18161,0,0,9,Union
10460,18161,0,0,3,Union
10461,18161,1,0,1,Union
10462,18161,0,0,3,Union
10463,18161,0,0,7,Union
10464,18161,0,0,2,Union
10465,18161,0,0,4,Union
10466,18161,1,0,4,Union
10467,18161,0,0,8,Union
10468,18161,0,0,2,Union
10469,18161,0,0,7,Union
10470,18161,0,0,2,Union
10471,18161,0,0,2,Union
10472,18161,0,0,2,Union
10473,18161,0,0,3,Union
10474,18161,0,0,6,Union
10475,18161,0,0,7,Union
10476,18161,0,0,8,Union
10477,18161,0,0,2,Union
10478,18161,0,0,0,Union
10479,18161,0,0,2,Union
10480,18161,0,0,7,Union
10481,18161,0,0,2,Union
10482,18161,0,0,24,Union
10483,18161,0,0,6,Union
10484,18161,0,0,1,Union
10485,18161,0,0,1,Union
10486,18161,0,0,1,Union
10487,18161,0,0,18,Union
10488,18161,0,0,6,Union
10489,18161,0,0,25,Union
10490,18161,1,0,6,Union
10491,18161,0,0,4,Union
10492,18161,0,0,1,Union
10493,18161,0,0,2,Union
10494,18161,0,0,4,Union
10495,18161,0,0,5,Union
10496,18161,1,0,21,Union
10497,18161,0,0,9,Union
10498,18161,2,0,3,Union
10499,18161,0,0,1,Union
10500,18161,0,0,6,Union
10501,18161,0,0,13,Union
10502,18161,0,0,9,Union
10503,18161,0,0,23,Union
10504,18161,0,0,10,Union
10505,18161,0,0,7,Union
10506,18161,0,0,2,Union
10507,18161,0,0,15,Union
10508,18161,0,0,7,Union
10509,18161,0,0,1,Union
10510,18161,0,0,12,Union
10511,18161,0,0,9,Union
10512,18161,0,0,3,Union
10513,18161,0,0,1,Union
10514,18161,0,0,6,Union
10515,18161,0,0,20,Union
10516,18161,1,0,7,Union
10517,18161,0,0,9,Union
10518,18161,0,0,12,Union
10519,18161,0,0,5,Union
