_id,COUNTY_NAME,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST
398,BLACKFORD,2020-03-06T00:00:00,0,0,0
399,BLACKFORD,2020-03-07T00:00:00,0,0,0
400,BLACKFORD,2020-03-08T00:00:00,0,0,0
401,BLACKFORD,2020-03-09T00:00:00,0,0,0
402,BLACKFORD,2020-03-10T00:00:00,0,0,0
403,BLACKFORD,2020-03-11T00:00:00,0,0,0
404,BLACKFORD,2020-03-12T00:00:00,0,0,0
405,BLACKFORD,2020-03-13T00:00:00,0,0,1
406,BLACKFORD,2020-03-14T00:00:00,0,0,0
407,BLACKFORD,2020-03-15T00:00:00,0,0,0
408,BLACKFORD,2020-03-16T00:00:00,0,0,0
409,BLACKFORD,2020-03-17T00:00:00,0,0,1
410,BLACKFORD,2020-03-18T00:00:00,0,0,1
411,BLACKFORD,2020-03-19T00:00:00,0,0,4
412,BLACKFORD,2020-03-20T00:00:00,0,0,0
413,BLACKFORD,2020-03-21T00:00:00,0,0,0
414,BLACKFORD,2020-03-22T00:00:00,0,0,0
415,BLACKFORD,2020-03-23T00:00:00,0,0,2
416,BLACKFORD,2020-03-24T00:00:00,0,0,3
417,BLACKFORD,2020-03-25T00:00:00,0,0,1
418,BLACKFORD,2020-03-26T00:00:00,0,0,3
419,BLACKFORD,2020-03-27T00:00:00,0,0,4
420,BLACKFORD,2020-03-28T00:00:00,0,0,1
421,BLACKFORD,2020-03-29T00:00:00,0,0,1
422,BLACKFORD,2020-03-30T00:00:00,0,0,1
423,BLACKFORD,2020-03-31T00:00:00,0,0,3
424,BLACKFORD,2020-04-01T00:00:00,1,0,8
425,BLACKFORD,2020-04-02T00:00:00,0,0,2
426,BLACKFORD,2020-04-03T00:00:00,1,0,2
427,BLACKFORD,2020-04-04T00:00:00,1,0,2
428,BLACKFORD,2020-04-05T00:00:00,1,0,1
429,BLACKFORD,2020-04-06T00:00:00,0,0,1
430,BLACKFORD,2020-04-07T00:00:00,0,0,7
431,BLACKFORD,2020-04-08T00:00:00,0,0,4
432,BLACKFORD,2020-04-09T00:00:00,0,0,2
433,BLACKFORD,2020-04-10T00:00:00,1,0,9
434,BLACKFORD,2020-04-11T00:00:00,0,0,2
435,BLACKFORD,2020-04-12T00:00:00,0,0,1
436,BLACKFORD,2020-04-13T00:00:00,1,0,2
437,BLACKFORD,2020-04-14T00:00:00,0,1,3
438,BLACKFORD,2020-04-15T00:00:00,0,0,3
439,BLACKFORD,2020-04-16T00:00:00,0,0,5
440,BLACKFORD,2020-04-17T00:00:00,0,0,3
441,BLACKFORD,2020-04-18T00:00:00,0,0,3
442,BLACKFORD,2020-04-19T00:00:00,0,0,0
443,BLACKFORD,2020-04-20T00:00:00,0,0,3
444,BLACKFORD,2020-04-21T00:00:00,0,0,13
445,BLACKFORD,2020-04-22T00:00:00,0,0,2
446,BLACKFORD,2020-04-23T00:00:00,1,0,1
447,BLACKFORD,2020-04-24T00:00:00,0,0,2
448,BLACKFORD,2020-04-25T00:00:00,0,0,5
449,BLACKFORD,2020-04-26T00:00:00,0,0,1
450,BLACKFORD,2020-04-27T00:00:00,0,0,4
451,BLACKFORD,2020-04-28T00:00:00,1,0,7
452,BLACKFORD,2020-04-29T00:00:00,0,0,11
453,BLACKFORD,2020-04-30T00:00:00,0,0,7
454,BLACKFORD,2020-05-01T00:00:00,1,0,10
455,BLACKFORD,2020-05-02T00:00:00,0,0,10
456,BLACKFORD,2020-05-03T00:00:00,0,0,2
457,BLACKFORD,2020-05-04T00:00:00,1,0,11
458,BLACKFORD,2020-05-05T00:00:00,2,0,11
459,BLACKFORD,2020-05-06T00:00:00,0,0,11
460,BLACKFORD,2020-05-07T00:00:00,1,0,10
