_id,LOCATION_ID,GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME
237,18003,F,20-29,2020-06-23T00:00:00,3,Allen
238,18003,F,20-29,2020-06-24T00:00:00,4,Allen
239,18003,F,20-29,2020-06-25T00:00:00,5,Allen
240,18003,F,20-29,2020-06-26T00:00:00,1,Allen
241,18003,F,20-29,2020-06-27T00:00:00,1,Allen
242,18003,F,20-29,2020-06-28T00:00:00,4,Allen
243,18003,F,20-29,2020-06-29T00:00:00,4,Allen
244,18003,F,20-29,2020-06-30T00:00:00,5,Allen
245,18003,F,20-29,2020-07-01T00:00:00,2,Allen
246,18003,F,20-29,2020-07-02T00:00:00,1,Allen
247,18003,F,20-29,2020-07-03T00:00:00,5,Allen
248,18003,F,20-29,2020-07-04T00:00:00,5,Allen
249,18003,F,20-29,2020-07-05T00:00:00,4,Allen
250,18003,F,20-29,2020-07-06T00:00:00,1,Allen
251,18003,F,20-29,2020-07-07T00:00:00,6,Allen
252,18003,F,20-29,2020-07-08T00:00:00,4,Allen
253,18003,F,20-29,2020-07-09T00:00:00,6,Allen
254,18003,F,20-29,2020-07-10T00:00:00,6,Allen
255,18003,F,20-29,2020-07-11T00:00:00,3,Allen
256,18003,F,20-29,2020-07-12T00:00:00,3,Allen
257,18003,F,20-29,2020-07-13T00:00:00,3,Allen
258,18003,F,20-29,2020-07-14T00:00:00,5,Allen
259,18003,F,20-29,2020-07-15T00:00:00,2,Allen
260,18003,F,20-29,2020-07-16T00:00:00,7,Allen
261,18003,F,20-29,2020-07-17T00:00:00,9,Allen
262,18003,F,20-29,2020-07-18T00:00:00,6,Allen
263,18003,F,20-29,2020-07-19T00:00:00,6,Allen
264,18003,F,20-29,2020-07-20T00:00:00,3,Allen
265,18003,F,20-29,2020-07-21T00:00:00,1,Allen
266,18003,F,20-29,2020-07-22T00:00:00,5,Allen
267,18003,F,20-29,2020-07-23T00:00:00,1,Allen
268,18003,F,20-29,2020-07-24T00:00:00,5,Allen
269,18003,F,20-29,2020-07-25T00:00:00,5,Allen
270,18003,F,20-29,2020-07-26T00:00:00,5,Allen
271,18003,F,20-29,2020-07-27T00:00:00,7,Allen
272,18003,F,20-29,2020-07-28T00:00:00,3,Allen
273,18003,F,20-29,2020-07-29T00:00:00,10,Allen
274,18003,F,20-29,2020-07-30T00:00:00,4,Allen
275,18003,F,20-29,2020-07-31T00:00:00,5,Allen
276,18003,F,20-29,2020-08-01T00:00:00,11,Allen
277,18003,F,20-29,2020-08-02T00:00:00,6,Allen
