_id,COUNTY_NAME,GENDER,AGE_GRP,EVENT_DATE,COVID_COUNT
311,ALLEN,F,50-59,2020-05-27T00:00:00,3
312,ALLEN,F,50-59,2020-05-28T00:00:00,1
313,ALLEN,F,50-59,2020-05-29T00:00:00,5
314,ALLEN,F,50-59,2020-05-31T00:00:00,3
315,ALLEN,F,50-59,2020-06-01T00:00:00,1
316,ALLEN,F,50-59,2020-06-02T00:00:00,3
317,ALLEN,F,50-59,2020-06-03T00:00:00,4
318,ALLEN,F,50-59,2020-06-04T00:00:00,6
319,ALLEN,F,50-59,2020-06-05T00:00:00,7
320,ALLEN,F,50-59,2020-06-06T00:00:00,5
321,ALLEN,F,50-59,2020-06-07T00:00:00,2
322,ALLEN,F,50-59,2020-06-08T00:00:00,2
323,ALLEN,F,50-59,2020-06-09T00:00:00,4
324,ALLEN,F,50-59,2020-06-10T00:00:00,2
325,ALLEN,F,50-59,2020-06-11T00:00:00,1
326,ALLEN,F,50-59,2020-06-12T00:00:00,2
327,ALLEN,F,50-59,2020-06-13T00:00:00,5
328,ALLEN,F,50-59,2020-06-14T00:00:00,3
329,ALLEN,F,50-59,2020-06-15T00:00:00,5
330,ALLEN,F,50-59,2020-06-16T00:00:00,2
331,ALLEN,F,50-59,2020-06-17T00:00:00,3
332,ALLEN,F,50-59,2020-06-18T00:00:00,1
333,ALLEN,F,60-69,2020-03-28T00:00:00,1
334,ALLEN,F,60-69,2020-03-30T00:00:00,1
335,ALLEN,F,60-69,2020-04-01T00:00:00,2
336,ALLEN,F,60-69,2020-04-02T00:00:00,2
337,ALLEN,F,60-69,2020-04-06T00:00:00,1
338,ALLEN,F,60-69,2020-04-08T00:00:00,1
339,ALLEN,F,60-69,2020-04-10T00:00:00,3
340,ALLEN,F,60-69,2020-04-12T00:00:00,1
341,ALLEN,F,60-69,2020-04-13T00:00:00,1
342,ALLEN,F,60-69,2020-04-15T00:00:00,2
343,ALLEN,F,60-69,2020-04-16T00:00:00,3
344,ALLEN,F,60-69,2020-04-17T00:00:00,1
345,ALLEN,F,60-69,2020-04-22T00:00:00,2
346,ALLEN,F,60-69,2020-04-24T00:00:00,1
347,ALLEN,F,60-69,2020-04-25T00:00:00,1
348,ALLEN,F,60-69,2020-04-27T00:00:00,1
349,ALLEN,F,60-69,2020-04-28T00:00:00,2
350,ALLEN,F,60-69,2020-04-29T00:00:00,3
