_id,location_id,gender,agegrp,date,covid_cases,county_name
197,18003,F,30-39,2020-04-26T00:00:00,1,Allen
198,18003,F,30-39,2020-04-29T00:00:00,1,Allen
199,18003,F,30-39,2020-04-30T00:00:00,3,Allen
200,18003,F,30-39,2020-05-01T00:00:00,1,Allen
201,18003,F,30-39,2020-05-02T00:00:00,1,Allen
202,18003,F,30-39,2020-05-03T00:00:00,3,Allen
203,18003,F,30-39,2020-05-04T00:00:00,5,Allen
204,18003,F,30-39,2020-05-05T00:00:00,2,Allen
205,18003,F,30-39,2020-05-06T00:00:00,3,Allen
206,18003,F,30-39,2020-05-07T00:00:00,1,Allen
207,18003,F,30-39,2020-05-08T00:00:00,1,Allen
208,18003,F,30-39,2020-05-09T00:00:00,1,Allen
209,18003,F,30-39,2020-05-10T00:00:00,1,Allen
210,18003,F,30-39,2020-05-11T00:00:00,1,Allen
211,18003,F,30-39,2020-05-12T00:00:00,1,Allen
212,18003,F,30-39,2020-05-13T00:00:00,2,Allen
213,18003,F,30-39,2020-05-14T00:00:00,6,Allen
214,18003,F,30-39,2020-05-15T00:00:00,3,Allen
215,18003,F,30-39,2020-05-16T00:00:00,2,Allen
216,18003,F,30-39,2020-05-17T00:00:00,3,Allen
217,18003,F,30-39,2020-05-18T00:00:00,1,Allen
218,18003,F,30-39,2020-05-19T00:00:00,1,Allen
219,18003,F,30-39,2020-05-20T00:00:00,4,Allen
220,18003,F,30-39,2020-05-21T00:00:00,6,Allen
221,18003,F,30-39,2020-05-22T00:00:00,2,Allen
222,18003,F,30-39,2020-05-23T00:00:00,4,Allen
223,18003,F,30-39,2020-05-24T00:00:00,5,Allen
224,18003,F,30-39,2020-05-25T00:00:00,4,Allen
225,18003,F,30-39,2020-05-26T00:00:00,2,Allen
226,18003,F,30-39,2020-05-27T00:00:00,9,Allen
227,18003,F,30-39,2020-05-28T00:00:00,4,Allen
228,18003,F,30-39,2020-05-29T00:00:00,7,Allen
229,18003,F,30-39,2020-05-30T00:00:00,4,Allen
230,18003,F,30-39,2020-05-31T00:00:00,3,Allen
231,18003,F,30-39,2020-06-01T00:00:00,5,Allen
232,18003,F,30-39,2020-06-02T00:00:00,2,Allen
233,18003,F,30-39,2020-06-03T00:00:00,3,Allen
234,18003,F,30-39,2020-06-04T00:00:00,5,Allen
235,18003,F,30-39,2020-06-05T00:00:00,3,Allen
236,18003,F,30-39,2020-06-06T00:00:00,4,Allen
237,18003,F,30-39,2020-06-08T00:00:00,1,Allen
238,18003,F,30-39,2020-06-09T00:00:00,4,Allen
239,18003,F,30-39,2020-06-10T00:00:00,5,Allen
240,18003,F,30-39,2020-06-11T00:00:00,3,Allen
241,18003,F,30-39,2020-06-12T00:00:00,7,Allen
242,18003,F,30-39,2020-06-13T00:00:00,6,Allen
243,18003,F,30-39,2020-06-14T00:00:00,3,Allen
244,18003,F,30-39,2020-06-15T00:00:00,4,Allen
245,18003,F,30-39,2020-06-16T00:00:00,4,Allen
246,18003,F,30-39,2020-06-17T00:00:00,6,Allen
247,18003,F,30-39,2020-06-18T00:00:00,2,Allen
248,18003,F,30-39,2020-06-19T00:00:00,3,Allen
249,18003,F,30-39,2020-06-20T00:00:00,6,Allen
250,18003,F,30-39,2020-06-22T00:00:00,2,Allen
251,18003,F,30-39,2020-06-23T00:00:00,3,Allen
252,18003,F,30-39,2020-06-24T00:00:00,4,Allen
253,18003,F,30-39,2020-06-25T00:00:00,3,Allen
254,18003,F,30-39,2020-06-26T00:00:00,5,Allen
255,18003,F,30-39,2020-06-27T00:00:00,2,Allen
256,18003,F,30-39,2020-06-28T00:00:00,4,Allen
257,18003,F,30-39,2020-06-30T00:00:00,2,Allen
258,18003,F,30-39,2020-07-02T00:00:00,1,Allen
259,18003,F,30-39,2020-07-03T00:00:00,3,Allen
260,18003,F,30-39,2020-07-04T00:00:00,2,Allen
261,18003,F,30-39,2020-07-05T00:00:00,3,Allen
262,18003,F,30-39,2020-07-06T00:00:00,1,Allen
263,18003,F,40-49,2020-03-20T00:00:00,1,Allen
264,18003,F,40-49,2020-03-31T00:00:00,1,Allen
265,18003,F,40-49,2020-04-02T00:00:00,1,Allen
266,18003,F,40-49,2020-04-04T00:00:00,1,Allen
267,18003,F,40-49,2020-04-05T00:00:00,4,Allen
268,18003,F,40-49,2020-04-07T00:00:00,1,Allen
269,18003,F,40-49,2020-04-08T00:00:00,2,Allen
270,18003,F,40-49,2020-04-09T00:00:00,3,Allen
271,18003,F,40-49,2020-04-10T00:00:00,1,Allen
272,18003,F,40-49,2020-04-11T00:00:00,1,Allen
273,18003,F,40-49,2020-04-12T00:00:00,2,Allen
274,18003,F,40-49,2020-04-14T00:00:00,4,Allen
275,18003,F,40-49,2020-04-15T00:00:00,5,Allen
276,18003,F,40-49,2020-04-16T00:00:00,5,Allen
277,18003,F,40-49,2020-04-19T00:00:00,5,Allen
278,18003,F,40-49,2020-04-20T00:00:00,4,Allen
279,18003,F,40-49,2020-04-21T00:00:00,1,Allen
280,18003,F,40-49,2020-04-22T00:00:00,6,Allen
281,18003,F,40-49,2020-04-24T00:00:00,5,Allen
282,18003,F,40-49,2020-04-25T00:00:00,1,Allen
283,18003,F,40-49,2020-04-26T00:00:00,3,Allen
284,18003,F,40-49,2020-04-27T00:00:00,1,Allen
285,18003,F,40-49,2020-04-29T00:00:00,2,Allen
286,18003,F,40-49,2020-05-01T00:00:00,1,Allen
287,18003,F,40-49,2020-05-02T00:00:00,2,Allen
288,18003,F,40-49,2020-05-04T00:00:00,3,Allen
289,18003,F,40-49,2020-05-05T00:00:00,1,Allen
290,18003,F,40-49,2020-05-06T00:00:00,1,Allen
291,18003,F,40-49,2020-05-07T00:00:00,1,Allen
292,18003,F,40-49,2020-05-09T00:00:00,1,Allen
293,18003,F,40-49,2020-05-10T00:00:00,4,Allen
294,18003,F,40-49,2020-05-11T00:00:00,6,Allen
295,18003,F,40-49,2020-05-12T00:00:00,1,Allen
296,18003,F,40-49,2020-05-13T00:00:00,1,Allen
297,18003,F,40-49,2020-05-14T00:00:00,5,Allen
298,18003,F,40-49,2020-05-15T00:00:00,4,Allen
299,18003,F,40-49,2020-05-17T00:00:00,2,Allen
300,18003,F,40-49,2020-05-18T00:00:00,2,Allen
301,18003,F,40-49,2020-05-19T00:00:00,6,Allen
302,18003,F,40-49,2020-05-20T00:00:00,2,Allen
303,18003,F,40-49,2020-05-21T00:00:00,3,Allen
304,18003,F,40-49,2020-05-23T00:00:00,3,Allen
305,18003,F,40-49,2020-05-24T00:00:00,2,Allen
306,18003,F,40-49,2020-05-25T00:00:00,5,Allen
307,18003,F,40-49,2020-05-26T00:00:00,2,Allen
308,18003,F,40-49,2020-05-27T00:00:00,2,Allen
309,18003,F,40-49,2020-05-28T00:00:00,4,Allen
310,18003,F,40-49,2020-05-29T00:00:00,12,Allen
311,18003,F,40-49,2020-05-30T00:00:00,1,Allen
312,18003,F,40-49,2020-05-31T00:00:00,2,Allen
313,18003,F,40-49,2020-06-01T00:00:00,2,Allen
314,18003,F,40-49,2020-06-02T00:00:00,8,Allen
315,18003,F,40-49,2020-06-03T00:00:00,3,Allen
316,18003,F,40-49,2020-06-04T00:00:00,5,Allen
317,18003,F,40-49,2020-06-05T00:00:00,3,Allen
318,18003,F,40-49,2020-06-06T00:00:00,1,Allen
319,18003,F,40-49,2020-06-07T00:00:00,2,Allen
320,18003,F,40-49,2020-06-08T00:00:00,4,Allen
321,18003,F,40-49,2020-06-09T00:00:00,5,Allen
322,18003,F,40-49,2020-06-10T00:00:00,3,Allen
323,18003,F,40-49,2020-06-11T00:00:00,3,Allen
324,18003,F,40-49,2020-06-12T00:00:00,2,Allen
325,18003,F,40-49,2020-06-13T00:00:00,7,Allen
326,18003,F,40-49,2020-06-14T00:00:00,1,Allen
327,18003,F,40-49,2020-06-15T00:00:00,5,Allen
328,18003,F,40-49,2020-06-16T00:00:00,1,Allen
329,18003,F,40-49,2020-06-17T00:00:00,6,Allen
330,18003,F,40-49,2020-06-18T00:00:00,2,Allen
331,18003,F,40-49,2020-06-19T00:00:00,5,Allen
