_id,DATE,BEDS_ICU_TOTAL,BEDS_ICU_OCCUPIED_COVID_19,BEDS_ICU_NO_OCCUPIED_COVID_19,BEDS_AVAILABLE_ICU_BEDS_TOTAL,VENTS_TOTAL,VENTS_ALL_USE_COVID_19,VENTS_NON_COVID_PTS_ON_VENTS,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,PCT_BEDS_ICU_OCCUPIED_COVID_19,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,PCT_VENTS_ALL_USE_COVID_19,PCT_VENTS_NON_COVID_PTS_ON_VENTS,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE
67,2020-05-03T00:00:00,2852,481,1131,1240,3025,265,327,2433,16.870000000000000994759830064140260219573974609375,39.659999999999996589394868351519107818603515625,43.47999999999999687361196265555918216705322265625,8.7599999999999997868371792719699442386627197265625,10.8100000000000004973799150320701301097869873046875,80.43000000000000682121026329696178436279296875
68,2020-05-04T00:00:00,2709,514,1071,1124,3080,283,346,2451,18.969999999999998863131622783839702606201171875,39.530000000000001136868377216160297393798828125,41.49000000000000198951966012828052043914794921875,9.1899999999999995026200849679298698902130126953125,11.230000000000000426325641456060111522674560546875,79.5799999999999982946974341757595539093017578125
69,2020-05-05T00:00:00,2748,500,1094,1154,3099,247,378,2474,18.199999999999999289457264239899814128875732421875,39.81000000000000227373675443232059478759765625,41.99000000000000198951966012828052043914794921875,7.96999999999999975131004248396493494510650634765625,12.199999999999999289457264239899814128875732421875,79.8299999999999982946974341757595539093017578125
70,2020-05-06T00:00:00,2736,486,1132,1118,3092,227,374,2491,17.760000000000001563194018672220408916473388671875,41.36999999999999744204615126363933086395263671875,40.8599999999999994315658113919198513031005859375,7.339999999999999857891452847979962825775146484375,12.0999999999999996447286321199499070644378662109375,80.56000000000000227373675443232059478759765625
71,2020-05-07T00:00:00,2719,481,1153,1085,3026,219,353,2454,17.690000000000001278976924368180334568023681640625,42.409999999999996589394868351519107818603515625,39.89999999999999857891452847979962825775146484375,7.2400000000000002131628207280300557613372802734375,11.6699999999999999289457264239899814128875732421875,81.099999999999994315658113919198513031005859375
72,2020-05-08T00:00:00,2699,458,1151,1090,3064,213,368,2483,16.969999999999998863131622783839702606201171875,42.64999999999999857891452847979962825775146484375,40.3900000000000005684341886080801486968994140625,6.95000000000000017763568394002504646778106689453125,12.0099999999999997868371792719699442386627197265625,81.0400000000000062527760746888816356658935546875
73,2020-05-09T00:00:00,2675,462,1100,1113,3078,205,362,2511,17.269999999999999573674358543939888477325439453125,41.11999999999999744204615126363933086395263671875,41.6099999999999994315658113919198513031005859375,6.660000000000000142108547152020037174224853515625,11.7599999999999997868371792719699442386627197265625,81.5799999999999982946974341757595539093017578125
74,2020-05-10T00:00:00,2647,452,1067,1128,3077,213,369,2495,17.0799999999999982946974341757595539093017578125,40.31000000000000227373675443232059478759765625,42.6099999999999994315658113919198513031005859375,6.9199999999999999289457264239899814128875732421875,11.9900000000000002131628207280300557613372802734375,81.090000000000003410605131648480892181396484375
75,2020-05-11T00:00:00,2725,472,1038,1215,3059,212,366,2481,17.32000000000000028421709430404007434844970703125,38.090000000000003410605131648480892181396484375,44.590000000000003410605131648480892181396484375,6.92999999999999971578290569595992565155029296875,11.96000000000000085265128291212022304534912109375,81.099999999999994315658113919198513031005859375
76,2020-05-12T00:00:00,2808,481,1145,1182,3044,217,373,2454,17.129999999999999005240169935859739780426025390625,40.780000000000001136868377216160297393798828125,42.090000000000003410605131648480892181396484375,7.12999999999999989341858963598497211933135986328125,12.25,80.6200000000000045474735088646411895751953125
77,2020-05-13T00:00:00,2818,488,1190,1140,3067,217,404,2446,17.32000000000000028421709430404007434844970703125,42.22999999999999687361196265555918216705322265625,40.4500000000000028421709430404007434844970703125,7.0800000000000000710542735760100185871124267578125,13.1699999999999999289457264239899814128875732421875,79.75
78,2020-05-14T00:00:00,2825,492,1219,1114,3057,213,394,2450,17.4200000000000017053025658242404460906982421875,43.14999999999999857891452847979962825775146484375,39.42999999999999971578290569595992565155029296875,6.96999999999999975131004248396493494510650634765625,12.8900000000000005684341886080801486968994140625,80.1400000000000005684341886080801486968994140625
79,2020-05-15T00:00:00,2781,426,1255,1100,3039,199,387,2453,15.32000000000000028421709430404007434844970703125,45.13000000000000255795384873636066913604736328125,39.5499999999999971578290569595992565155029296875,6.54999999999999982236431605997495353221893310546875,12.730000000000000426325641456060111522674560546875,80.719999999999998863131622783839702606201171875
80,2020-05-16T00:00:00,2725,441,1241,1043,3064,205,406,2453,16.17999999999999971578290569595992565155029296875,45.53999999999999914734871708787977695465087890625,38.280000000000001136868377216160297393798828125,6.69000000000000039079850466805510222911834716796875,13.25,80.06000000000000227373675443232059478759765625
81,2020-05-17T00:00:00,2674,426,1192,1056,3093,212,388,2493,15.92999999999999971578290569595992565155029296875,44.5799999999999982946974341757595539093017578125,39.49000000000000198951966012828052043914794921875,6.8499999999999996447286321199499070644378662109375,12.53999999999999914734871708787977695465087890625,80.599999999999994315658113919198513031005859375
82,2020-05-18T00:00:00,2614,421,1112,1081,3077,206,399,2472,16.1099999999999994315658113919198513031005859375,42.53999999999999914734871708787977695465087890625,41.35000000000000142108547152020037174224853515625,6.69000000000000039079850466805510222911834716796875,12.9700000000000006394884621840901672840118408203125,80.340000000000003410605131648480892181396484375
83,2020-05-19T00:00:00,2594,431,1152,1011,3075,197,398,2480,16.620000000000000994759830064140260219573974609375,44.409999999999996589394868351519107818603515625,38.969999999999998863131622783839702606201171875,6.410000000000000142108547152020037174224853515625,12.9399999999999995026200849679298698902130126953125,80.650000000000005684341886080801486968994140625
84,2020-05-20T00:00:00,2629,409,1184,1036,3100,175,419,2506,15.5600000000000004973799150320701301097869873046875,45.03999999999999914734871708787977695465087890625,39.409999999999996589394868351519107818603515625,5.6500000000000003552713678800500929355621337890625,13.519999999999999573674358543939888477325439453125,80.840000000000003410605131648480892181396484375
85,2020-05-21T00:00:00,2591,416,1197,978,3079,173,399,2507,16.059999999999998721023075631819665431976318359375,46.2000000000000028421709430404007434844970703125,37.75,5.62000000000000010658141036401502788066864013671875,12.96000000000000085265128291212022304534912109375,81.4200000000000017053025658242404460906982421875
86,2020-05-22T00:00:00,2572,403,1206,963,3108,173,383,2552,15.6699999999999999289457264239899814128875732421875,46.8900000000000005684341886080801486968994140625,37.43999999999999772626324556767940521240234375,5.57000000000000028421709430404007434844970703125,12.32000000000000028421709430404007434844970703125,82.1099999999999994315658113919198513031005859375
87,2020-05-23T00:00:00,2542,396,1192,954,3092,173,397,2522,15.5800000000000000710542735760100185871124267578125,46.8900000000000005684341886080801486968994140625,37.530000000000001136868377216160297393798828125,5.5999999999999996447286321199499070644378662109375,12.839999999999999857891452847979962825775146484375,81.56999999999999317878973670303821563720703125
88,2020-05-24T00:00:00,2533,365,1133,1035,3102,169,396,2537,14.410000000000000142108547152020037174224853515625,44.72999999999999687361196265555918216705322265625,40.8599999999999994315658113919198513031005859375,5.45000000000000017763568394002504646778106689453125,12.769999999999999573674358543939888477325439453125,81.7900000000000062527760746888816356658935546875
89,2020-05-25T00:00:00,2571,365,1157,1049,3111,163,393,2555,14.199999999999999289457264239899814128875732421875,45,40.7999999999999971578290569595992565155029296875,5.2400000000000002131628207280300557613372802734375,12.6300000000000007815970093361102044582366943359375,82.1299999999999954525264911353588104248046875
90,2020-05-26T00:00:00,2536,400,1089,1047,3069,182,373,2514,15.769999999999999573674358543939888477325439453125,42.93999999999999772626324556767940521240234375,41.28999999999999914734871708787977695465087890625,5.92999999999999971578290569595992565155029296875,12.1500000000000003552713678800500929355621337890625,81.9200000000000017053025658242404460906982421875
91,2020-05-27T00:00:00,2545,411,1137,997,3105,178,377,2550,16.14999999999999857891452847979962825775146484375,44.67999999999999971578290569595992565155029296875,39.1700000000000017053025658242404460906982421875,5.730000000000000426325641456060111522674560546875,12.1400000000000005684341886080801486968994140625,82.1299999999999954525264911353588104248046875
92,2020-05-28T00:00:00,2567,412,1191,964,3187,161,381,2645,16.050000000000000710542735760100185871124267578125,46.39999999999999857891452847979962825775146484375,37.5499999999999971578290569595992565155029296875,5.04999999999999982236431605997495353221893310546875,11.949999999999999289457264239899814128875732421875,82.9899999999999948840923025272786617279052734375
93,2020-05-29T00:00:00,2540,387,1157,996,3084,151,364,2569,15.2400000000000002131628207280300557613372802734375,45.5499999999999971578290569595992565155029296875,39.21000000000000085265128291212022304534912109375,4.9000000000000003552713678800500929355621337890625,11.800000000000000710542735760100185871124267578125,83.2999999999999971578290569595992565155029296875
94,2020-05-30T00:00:00,2544,372,1166,1006,3056,143,352,2561,14.6199999999999992184029906638897955417633056640625,45.8299999999999982946974341757595539093017578125,39.53999999999999914734871708787977695465087890625,4.67999999999999971578290569595992565155029296875,11.519999999999999573674358543939888477325439453125,83.7999999999999971578290569595992565155029296875
95,2020-05-31T00:00:00,2533,366,1131,1036,3066,148,351,2567,14.449999999999999289457264239899814128875732421875,44.64999999999999857891452847979962825775146484375,40.89999999999999857891452847979962825775146484375,4.8300000000000000710542735760100185871124267578125,11.449999999999999289457264239899814128875732421875,83.719999999999998863131622783839702606201171875
96,2020-06-01T00:00:00,2555,358,1076,1121,3052,140,368,2544,14.0099999999999997868371792719699442386627197265625,42.1099999999999994315658113919198513031005859375,43.86999999999999744204615126363933086395263671875,4.589999999999999857891452847979962825775146484375,12.0600000000000004973799150320701301097869873046875,83.3599999999999994315658113919198513031005859375
97,2020-06-02T00:00:00,2555,355,1159,1041,3089,144,375,2570,13.8900000000000005684341886080801486968994140625,45.3599999999999994315658113919198513031005859375,40.74000000000000198951966012828052043914794921875,4.660000000000000142108547152020037174224853515625,12.1400000000000005684341886080801486968994140625,83.2000000000000028421709430404007434844970703125
98,2020-06-03T00:00:00,2543,372,1217,954,3076,144,389,2543,14.6300000000000007815970093361102044582366943359375,47.8599999999999994315658113919198513031005859375,37.50999999999999801048033987171947956085205078125,4.67999999999999971578290569595992565155029296875,12.6500000000000003552713678800500929355621337890625,82.6700000000000017053025658242404460906982421875
99,2020-06-04T00:00:00,2601,368,1282,951,3025,147,367,2511,14.1500000000000003552713678800500929355621337890625,49.28999999999999914734871708787977695465087890625,36.56000000000000227373675443232059478759765625,4.86000000000000031974423109204508364200592041015625,12.1300000000000007815970093361102044582366943359375,83.0100000000000051159076974727213382720947265625
100,2020-06-05T00:00:00,2638,344,1310,984,3018,133,383,2502,13.03999999999999914734871708787977695465087890625,49.659999999999996589394868351519107818603515625,37.2999999999999971578290569595992565155029296875,4.410000000000000142108547152020037174224853515625,12.6899999999999995026200849679298698902130126953125,82.900000000000005684341886080801486968994140625
101,2020-06-06T00:00:00,2649,335,1325,989,2988,133,383,2472,12.6500000000000003552713678800500929355621337890625,50.02000000000000312638803734444081783294677734375,37.3299999999999982946974341757595539093017578125,4.45000000000000017763568394002504646778106689453125,12.82000000000000028421709430404007434844970703125,82.7300000000000039790393202565610408782958984375
102,2020-06-07T00:00:00,2673,346,1303,1024,2989,130,374,2485,12.9399999999999995026200849679298698902130126953125,48.75,38.31000000000000227373675443232059478759765625,4.3499999999999996447286321199499070644378662109375,12.5099999999999997868371792719699442386627197265625,83.1400000000000005684341886080801486968994140625
103,2020-06-08T00:00:00,2529,307,1242,980,3002,113,424,2465,12.1400000000000005684341886080801486968994140625,49.1099999999999994315658113919198513031005859375,38.75,3.7599999999999997868371792719699442386627197265625,14.1199999999999992184029906638897955417633056640625,82.1099999999999994315658113919198513031005859375
104,2020-06-09T00:00:00,2487,307,1233,947,3028,113,413,2502,12.339999999999999857891452847979962825775146484375,49.5799999999999982946974341757595539093017578125,38.0799999999999982946974341757595539093017578125,3.729999999999999982236431605997495353221893310546875,13.6400000000000005684341886080801486968994140625,82.6299999999999954525264911353588104248046875
105,2020-06-10T00:00:00,2540,331,1254,955,2992,118,372,2502,13.0299999999999993605115378159098327159881591796875,49.36999999999999744204615126363933086395263671875,37.60000000000000142108547152020037174224853515625,3.939999999999999946709294817992486059665679931640625,12.42999999999999971578290569595992565155029296875,83.6200000000000045474735088646411895751953125
106,2020-06-11T00:00:00,2520,329,1228,963,3015,116,383,2516,13.0600000000000004973799150320701301097869873046875,48.72999999999999687361196265555918216705322265625,38.21000000000000085265128291212022304534912109375,3.850000000000000088817841970012523233890533447265625,12.699999999999999289457264239899814128875732421875,83.4500000000000028421709430404007434844970703125
107,2020-06-12T00:00:00,2451,316,1184,951,3020,118,392,2510,12.8900000000000005684341886080801486968994140625,48.31000000000000227373675443232059478759765625,38.7999999999999971578290569595992565155029296875,3.910000000000000142108547152020037174224853515625,12.980000000000000426325641456060111522674560546875,83.1099999999999994315658113919198513031005859375
108,2020-06-13T00:00:00,2416,301,1155,960,3011,113,387,2511,12.46000000000000085265128291212022304534912109375,47.81000000000000227373675443232059478759765625,39.74000000000000198951966012828052043914794921875,3.75,12.8499999999999996447286321199499070644378662109375,83.3900000000000005684341886080801486968994140625
109,2020-06-14T00:00:00,2405,305,1109,991,3015,123,388,2504,12.67999999999999971578290569595992565155029296875,46.1099999999999994315658113919198513031005859375,41.21000000000000085265128291212022304534912109375,4.0800000000000000710542735760100185871124267578125,12.8699999999999992184029906638897955417633056640625,83.0499999999999971578290569595992565155029296875
110,2020-06-15T00:00:00,2551,313,1212,1026,3013,121,422,2470,12.269999999999999573674358543939888477325439453125,47.50999999999999801048033987171947956085205078125,40.219999999999998863131622783839702606201171875,4.019999999999999573674358543939888477325439453125,14.0099999999999997868371792719699442386627197265625,81.9800000000000039790393202565610408782958984375
111,2020-06-16T00:00:00,2508,238,1313,957,2994,105,455,2434,9.4900000000000002131628207280300557613372802734375,52.35000000000000142108547152020037174224853515625,38.159999999999996589394868351519107818603515625,3.5099999999999997868371792719699442386627197265625,15.199999999999999289457264239899814128875732421875,81.2999999999999971578290569595992565155029296875
112,2020-06-17T00:00:00,2488,236,1333,919,2993,103,440,2450,9.4900000000000002131628207280300557613372802734375,53.5799999999999982946974341757595539093017578125,36.93999999999999772626324556767940521240234375,3.439999999999999946709294817992486059665679931640625,14.699999999999999289457264239899814128875732421875,81.8599999999999994315658113919198513031005859375
113,2020-06-18T00:00:00,2482,259,1311,912,2996,111,439,2446,10.4399999999999995026200849679298698902130126953125,52.82000000000000028421709430404007434844970703125,36.74000000000000198951966012828052043914794921875,3.70000000000000017763568394002504646778106689453125,14.6500000000000003552713678800500929355621337890625,81.6400000000000005684341886080801486968994140625
114,2020-06-19T00:00:00,2455,231,1322,902,2973,113,429,2431,9.410000000000000142108547152020037174224853515625,53.85000000000000142108547152020037174224853515625,36.74000000000000198951966012828052043914794921875,3.79999999999999982236431605997495353221893310546875,14.42999999999999971578290569595992565155029296875,81.7699999999999960209606797434389591217041015625
115,2020-06-20T00:00:00,2443,226,1289,928,2952,124,430,2398,9.25,52.75999999999999801048033987171947956085205078125,37.99000000000000198951966012828052043914794921875,4.20000000000000017763568394002504646778106689453125,14.57000000000000028421709430404007434844970703125,81.2300000000000039790393202565610408782958984375
116,2020-06-21T00:00:00,2469,283,1245,941,2960,108,443,2409,11.46000000000000085265128291212022304534912109375,50.42999999999999971578290569595992565155029296875,38.1099999999999994315658113919198513031005859375,3.649999999999999911182158029987476766109466552734375,14.9700000000000006394884621840901672840118408203125,81.3900000000000005684341886080801486968994140625
