_id,date,beds_icu_total,beds_icu_occupied_beds_covid_19,bed_occupied_icu_non_covid,beds_available_icu_beds_total,vents_total,vents_all_in_use_covid_19,vents_non_covid_pts_on_vents,vents_all_available_vents_not_in_use,pct_beds_icu_occupied_beds_covid_19,pct_bed_occupied_icu_non_covid,pct_beds_available_icu_beds_total,pct_vents_all_in_use_covid_19,pct_vents_non_covid_pts_on_vents,pct_vents_all_available_vents_not_in_use
63,2020-06-09T00:00:00,2487,307,1233,947,3028,113,413,2502,12.339999999999999857891452847979962825775146484375,49.5799999999999982946974341757595539093017578125,38.0799999999999982946974341757595539093017578125,3.729999999999999982236431605997495353221893310546875,13.6400000000000005684341886080801486968994140625,82.6299999999999954525264911353588104248046875
64,2020-06-10T00:00:00,2540,331,1254,955,2992,118,372,2502,13.0299999999999993605115378159098327159881591796875,49.36999999999999744204615126363933086395263671875,37.60000000000000142108547152020037174224853515625,3.939999999999999946709294817992486059665679931640625,12.42999999999999971578290569595992565155029296875,83.6200000000000045474735088646411895751953125
65,2020-06-11T00:00:00,2520,329,1228,963,3015,116,383,2516,13.0600000000000004973799150320701301097869873046875,48.72999999999999687361196265555918216705322265625,38.21000000000000085265128291212022304534912109375,3.850000000000000088817841970012523233890533447265625,12.699999999999999289457264239899814128875732421875,83.4500000000000028421709430404007434844970703125
66,2020-06-12T00:00:00,2451,316,1184,951,3020,118,392,2510,12.8900000000000005684341886080801486968994140625,48.31000000000000227373675443232059478759765625,38.7999999999999971578290569595992565155029296875,3.910000000000000142108547152020037174224853515625,12.980000000000000426325641456060111522674560546875,83.1099999999999994315658113919198513031005859375
67,2020-06-13T00:00:00,2416,301,1155,960,3011,113,387,2511,12.46000000000000085265128291212022304534912109375,47.81000000000000227373675443232059478759765625,39.74000000000000198951966012828052043914794921875,3.75,12.8499999999999996447286321199499070644378662109375,83.3900000000000005684341886080801486968994140625
68,2020-06-14T00:00:00,2405,305,1109,991,3015,123,388,2504,12.67999999999999971578290569595992565155029296875,46.1099999999999994315658113919198513031005859375,41.21000000000000085265128291212022304534912109375,4.0800000000000000710542735760100185871124267578125,12.8699999999999992184029906638897955417633056640625,83.0499999999999971578290569595992565155029296875
69,2020-06-15T00:00:00,2551,313,1212,1026,3013,121,422,2470,12.269999999999999573674358543939888477325439453125,47.50999999999999801048033987171947956085205078125,40.219999999999998863131622783839702606201171875,4.019999999999999573674358543939888477325439453125,14.0099999999999997868371792719699442386627197265625,81.9800000000000039790393202565610408782958984375
70,2020-06-16T00:00:00,2508,238,1313,957,2994,105,455,2434,9.4900000000000002131628207280300557613372802734375,52.35000000000000142108547152020037174224853515625,38.159999999999996589394868351519107818603515625,3.5099999999999997868371792719699442386627197265625,15.199999999999999289457264239899814128875732421875,81.2999999999999971578290569595992565155029296875
71,2020-06-17T00:00:00,2488,236,1333,919,2993,103,440,2450,9.4900000000000002131628207280300557613372802734375,53.5799999999999982946974341757595539093017578125,36.93999999999999772626324556767940521240234375,3.439999999999999946709294817992486059665679931640625,14.699999999999999289457264239899814128875732421875,81.8599999999999994315658113919198513031005859375
72,2020-06-18T00:00:00,2482,259,1311,912,2996,111,439,2446,10.4399999999999995026200849679298698902130126953125,52.82000000000000028421709430404007434844970703125,36.74000000000000198951966012828052043914794921875,3.70000000000000017763568394002504646778106689453125,14.6500000000000003552713678800500929355621337890625,81.6400000000000005684341886080801486968994140625
